iter	RMSE
841	3683472.741
842	3683212.249
843	3682813.635
844	3682553.007
845	3681993.445
846	3681269.421
847	3680715.986
848	3679767.511
849	3679291.626
850	3678641.405
851	3678392.783
852	3678280.793
853	3678250.438
854	3678105.034
855	3677885.113
856	3677437.364
857	3677298.979
858	3676363.922
859	3676069.192
860	3676049.352
861	3675948.852
862	3675607.288
863	3675503.335
864	3675496.02
865	3674705.997
866	3674597.757
867	3674297.641
868	3674158.492
869	3674010.382
870	3673590.951
871	3673402.065
872	3673234.315
873	3672699.449
874	3672686.831
875	3672110.19
876	3671895.528
877	3671637.646
878	3671460.944
879	3671050.176
880	3670974.777
881	3670639.519
882	3670342.11
883	3669811.935
884	3669498.615
885	3669411.29
886	3668700.889
887	3668516.035
888	3668378.555
889	3667683.979
890	3667562.538
891	3667007.489
892	3666936.96
893	3666890.215
894	3666771.184
895	3666522.986
896	3666371.046
897	3665985.277
898	3665941.753
899	3665705.908
900	3665032.494
901	3664519.349
902	3663991.278
903	3663444.898
904	3663174.86
905	3661998.823
906	3661549.256
907	3661256.818
908	3661035.548
909	3660745.654
910	3660598.634
911	3660557.132
912	3660323.238
913	3660180.363
914	3659800.253
915	3659618.349
916	3659461.437
917	3659123.727
918	3658521.802
919	3658391.846
920	3658230.725
921	3657512.284
922	3656990.125
923	3656760.911
924	3656557.985
925	3656313.299
926	3656151.171
927	3655461.841
928	3655333.355
929	3654759.803
930	3654728.717
931	3654443.734
932	3654341.175
933	3653878.324
934	3653865.695
935	3653654.049
936	3653485.217
937	3652992.818
938	3652587.699
939	3652381.324
940	3652340.79
941	3652087.164
942	3651414.032
943	3651287.897
944	3650513.986
945	3650413.158
946	3650115.027
947	3649791.28
948	3649092.635
949	3648822.31
950	3648324.189
951	3648146.146
952	3647700.322
953	3647425.759
954	3647387.794
955	3647168.588
956	3646846.422
957	3646228.007
958	3644426.223
959	3644161.801
960	3644115.335
961	3643959.83
962	3643044.49
963	3642752.498
964	3642719.139
965	3642702.93
966	3642045.001
967	3641629.952
968	3641319.35
969	3640659.2
970	3640237.129
971	3640087.855
972	3640086.496
973	3639970.601
974	3639861.426
975	3639700.552
976	3639581.847
977	3638988.311
978	3638644.31
979	3638458.551
980	3638207.888
981	3637861.055
982	3637579.34
983	3637303.44
984	3636834.348
985	3636755.794
986	3636610.105
987	3636566.282
988	3636223.176
989	3635551.723
990	3635542.525
991	3635039.793
992	3634897.96
993	3634653.759
994	3634582.903
995	3634489.664
996	3634118.036
997	3633620.519
998	3633613.576
999	3633026.567
